Year,Title,Worldwide Gross,Budget
1915,The Birth of a Nation,"$50,000,000–100,000,000$20,000,000+R ($5,200,000)R","$110,000"
1916,Intolerance,"$1,750,000R IN","$385,907"
1917,Cleopatra,"$500,000*R","$300,000"
1918,Mickey,"$8,000,000","$250,000"
1919,The Miracle Man,"$3,000,000R","$120,000"
1920,Way Down East,"$5,000,000R ($4,000,000)R","$800,000"
1921,The Four Horsemen of the Apocalypse,"$5,000,000R ($4,000,000)R","$600,000–800,000"
1922,Douglas Fairbanks in Robin Hood,"$2,500,000R","$930,042.78"
1923,The Covered Wagon,"$5,000,000R","$800,000"
1924,The Sea Hawk,"$3,000,000R","$700,000"
1925,The Big Parade,"$18,000,000–22,000,000R  ($6,131,000)R","$382,000"
Ben-Hur,"$10,738,000R ($9,386,000)R","$3,967,000",[# 101][# 102]
1926,For Heaven's Sake,"$2,600,000R FH","$150,000"
1927,Wings,"$3,600,000R","$2,000,000"
1928,The Singing Fool,"$5,900,000R","$388,000"
1929,The Broadway Melody,"$4,400,000–4,800,000R","$379,000"
Sunny Side Up,"$3,500,000*R SS","$600,000",[# 109][# 110]
1930,All Quiet on the Western Front,"$3,000,000R","$1,250,000"
1931,Frankenstein,"$12,000,000R ($1,400,000)R","$250,000"
City Lights,"$5,000,000R","$1,607,351",[# 116]
1932,The Sign of the Cross,"$2,738,993R","$694,065"
1933,King Kong,"$5,347,000R ($1,856,000)R","$672,255.75"
I'm No Angel,"$3,250,000+R","$200,000",[# 121][# 122]
Cavalcade,"$3,000,000–4,000,000R","$1,116,000",[# 92][# 112]
She Done Him Wrong,"$3,000,000+R","$274,076",[# 123][# 124][# 125]
1934,The Merry Widow,"$2,608,000R","$1,605,000"
It Happened One Night,"$2,500,000R ON","$325,000",[# 127][# 128]
1935,Mutiny on the Bounty,"$4,460,000R","$1,905,000"
1936,San Francisco,"$6,044,000+R ($5,273,000)R","$1,300,000"
1937,Snow White and the Seven Dwarfs,"$418,000,000+S7 ($8,500,000)R","$1,488,423"
1938,You Can't Take It with You,"$5,000,000R","$1,200,000"
1939,Gone with the Wind,"$390,525,192–402,382,193  ($32,000,000)R GW","$3,900,000–4,250,000"
1940,Pinocchio,"$87,000,862* ($3,500,000)R","$2,600,000"
Boom Town,"$4,600,000*R","$2,100,000",[# 140][# 141]
1941,Sergeant York,"$7,800,000R","$1,600,000"
1942,Bambi,"$267,997,843 ($3,449,353)R","$1,700,000–2,000,000"
Mrs. Miniver,"$8,878,000R","$1,344,000",[# 147][# 148]
1943,For Whom the Bell Tolls,"$11,000,000R","$2,681,298"
